열선의_id,찾은_도로의_id,중점_위도,중점_경도,경사각,최근접_시설의_평균거리,시점_위도,시점_경도,종점_위도,종점_경도,길이,열선여부,행정동,주소,도로명_여부,행정구역
1,,37.6174370630214,127.04552998013553,2.1885579446208583,195.57162912399272,37.6171741444527,127.045089493418,37.6176999815901,127.045970466853,256,1,장위동,성북구 장위동 219-131,0,성북구
2,,37.6166959090079,127.0086218724145,3.307969766370479,135.705267484492,37.616442424527,127.009121176859,37.6169493934888,127.00812256797,300,1,정릉동,성북구 정릉동 239-23,0,성북구
3,,37.60759967328565,127.0276093312935,6.601814590770603,117.82878283428184,37.607422157428,127.02808379293,37.6077771891433,127.027134869657,250,1,길음동,성북구 길음동 1289-8,0,성북구
4,,37.5920436084317,127.0071047386445,7.082448841325491,137.2728693721921,37.5899806287616,127.005993938302,37.5941065881018,127.008215538987,185,1,성북동,성북구 성북동 168-276,0,성북구
5,,37.600372245926195,127.0317287622545,3.3499304328220156,113.52462484055177,37.6001000928042,127.031259034718,37.6006443990482,127.032198489791,95,1,종암동,성북구 종암동 79-471,0,성북구
6,,37.61916148591905,127.006100376908,5.189649089652688,184.0628457084011,37.6204097542099,127.006204573905,37.6179132176282,127.005996179911,32,1,정릉동,성북구 정릉동 239-18,0,성북구
7,,37.61255967578885,127.0383671123015,12.273235358867671,176.90313372500083,37.6129153168771,127.038026043097,37.6122040347006,127.038708181506,100,1,장위동,성북구 장위동 231-170,0,성북구
8,,37.61350790445685,127.03881516617348,4.887016230406236,182.2378776543243,37.6126874966274,127.037620682673,37.6143283122863,127.040009649674,343,1,장위동,성북구 장위동 231-170,0,성북구
9,,37.59808482220665,127.0154400459945,15.055484215703352,163.2905972305588,37.5978497836959,127.015210181095,37.5983198607174,127.015669910894,90,1,돈암동,성북구 돈암동 413-59,0,성북구
10,,37.604417429787105,127.008876406103,9.349387177917018,220.658476281431,37.6050599739523,127.010033928585,37.6037748856219,127.007718883621,80,1,정릉동,성북구 정릉동 435-2,0,성북구
11,,37.60527389197125,127.051450854643,12.723787859241003,269.88522353418557,37.605469794873,127.051180664705,37.6050779890695,127.051721044581,140,1,상월곡동,성북구 상월곡동 24-349,0,성북구
12,,37.6002198972053,127.023398681956,4.426196376274178,179.0333471354557,37.5989927554427,127.023132747169,37.6014470389679,127.023664616743,170,1,돈암동,성북구 돈암동 15-10,0,성북구
13,,37.58514021091305,127.0229828704615,1.4678725471577954,188.38277538732905,37.5839815608314,127.022381325102,37.5862988609947,127.023584415821,473,1,안암동3가,"성북구 고려대로14길 28 (안암동3가, 대광빌라)",1,성북구
14,,37.59517409147915,127.0107081899275,9.698275414047046,223.8218326389785,37.5944725333435,127.012706037821,37.5958756496148,127.008710342034,116,1,돈암동,성북구 성북로4길 52,1,성북구
15,,37.61271501366945,127.0183606596525,4.902166666935132,172.4858046443468,37.6113247609887,127.020849661284,37.6141052663502,127.015871658021,200,1,길음동,성북구 길음로 118,1,성북구
16,,37.5960573885895,127.0211155234725,2.8822269021164133,153.40792087328427,37.5957670040685,127.020835694762,37.5963477731105,127.021395352183,80,1,동선동3가,"성북구 동소문로26라길 42-1 (동선동3가, 테라팰리스)",1,성북구
17,,37.60865794236645,127.0370850633305,6.606206250802419,168.7967841377461,37.6090977872099,127.038146527662,37.608218097523,127.036023598999,270,1,하월곡동,성북구 오패산로 90,1,성북구
18,,37.6130998230893,127.039447500308,6.896154896381217,190.11111917134215,37.6136412940616,127.039247598102,37.612558352117,127.039647402514,90,1,장위동,성북구 장위로10길 10-7,1,성북구
19,,37.61196791985395,127.037766025304,8.347489209132426,162.96376778882563,37.6124680892797,127.037389295824,37.6114677504282,127.038142754784,90,1,하월곡동,성북구 오패산로 90,1,성북구
20,,37.6106497370007,127.016549167027,8.805347567270251,182.51247557000323,37.6104346455106,127.015123837224,37.6108648284908,127.01797449683,110,1,길음동,성북구 길음로 119,1,성북구
21,,37.618351788142945,127.0045738060745,11.241212799906288,242.6904852701206,37.6169120464565,127.003614898863,37.6197915298294,127.005532713286,180,1,정릉동,"성북구 보국문로30길 39 (정릉동, 성진빌라)",1,성북구
22,,37.5896921906087,127.0056918881395,8.093051642306026,122.98534632364786,37.5899806287616,127.005993938302,37.5894037524558,127.005389837977,250,1,동소문동1가,성북구 성북로4길 13-8,1,성북구
23,,37.6170023842636,127.0055753782195,12.151491936676097,191.21438298570777,37.6165641902663,127.00554096909,37.6174405782609,127.005609787349,120,1,정릉동,"성북구 보국문로28길 20 (정릉동, 나라키움 정릉동 주택)",1,성북구
24,,37.61491496045165,127.0109274863905,10.578184100276957,85.36640575718532,37.6158380598006,127.01101885516,37.6139918611027,127.010836117621,50,1,정릉동,성북구 솔샘로24길 15,1,성북구
25,,37.61147746974175,126.9990879868285,8.618132711765437,246.36431093284176,37.6121941603479,126.998939100158,37.6107607791356,126.999236873499,193,1,정릉동,성북구 정릉로 77,1,성북구
26,,37.606201976780255,126.997913481913,9.321516824171828,427.5393714169612,37.6064752203793,126.998955262977,37.6059287331812,126.996871700849,65,1,정릉동,성북구 정릉로10다길 25,1,성북구
