중점_위도,중점_경도,경사각,최근접_시설의_평균거리,행정동,행정동_사고_순위,주소,도로명_여부,열선여부,원본여부
37.5461277,127.0999016,2.4876818799485076,223.0240851303989,광장동,6,광장로 11 (광장동),1,0,1
37.5460239,127.09791275,5.209766512591788,227.9380279499847,광장동,6,광장동 401-18,0,0,1
37.54474485,127.09749025,2.883715438251337,242.67483705237078,광장동,6,광장동 414-20,0,0,1
37.5335077,127.0757718,0.5079537800735575,260.28231738319903,자양동,1,자양번영로 43-2 (자양동),1,0,1
37.5328984,127.0755988,0.32109956646978,230.108657658609,자양동,1,자양번영로 43-2 (자양동),1,0,1
37.5380958,127.077132,0.5399943558760782,209.74075265953599,자양동,1,자양동 227-9,0,0,1
37.5377165,127.0770318,1.2676012283630336,198.4428360124062,자양동,1,자양동 794-10,0,0,1
37.54429905,127.0905724,0.8338373008639082,184.7399388181067,구의동,3,구의동 229-47,0,0,1
37.548048949999995,127.0704783,0.0062857599383554,279.04166606091604,군자동,5,광나루로 371-3 (군자동),1,0,1
37.547746149999995,127.0704134,0.1377027986589225,293.62469883943123,화양동,4,화양동 18-28,0,0,1
37.5543083,127.0750724,0.3233026642267426,194.2016072153856,군자동,5,군자동 64-2,0,0,1
37.55433345,127.0750387,0.1530539396541449,192.57866610636808,군자동,5,군자동 64-2,0,0,1
37.5542186,127.07489665,0.4004133557768422,188.24521623193422,군자동,5,군자동 64-2,0,0,1
37.56010705,127.09505165,12.405795309435346,277.5445216690485,중곡동,2,중곡동 73-54,0,0,1
37.55962460000001,127.09490915,4.4170561999666464,239.96397744362122,중곡동,2,중곡동 437-2,0,0,1
37.55994365,127.0947235,2.4113040311707423,253.6136587580067,중곡동,2,중곡동 482-1,0,0,1
37.5610999,127.09547585,2.473642185942777,372.84427754233104,중곡동,2,중곡동 72-121,0,0,1
37.5605923,127.095207,2.5630911507628564,320.44033020482806,중곡동,2,중곡동 72-56,0,0,1
37.5634732,127.07992825,1.569747847731727,267.3632511818675,중곡동,2,중곡동 264-3,0,0,1
37.562920250000005,127.07962935,2.0092947805655426,278.4708700919173,중곡동,2,중곡동 264-1,0,0,1
37.53609965,127.0834098,0.5564264701191783,273.6503819759381,자양동,1,자양로 89-2 (자양동),1,0,1
37.5416322,127.0832476,2.9669470181528284,154.56543978247336,구의동,3,"자양로25길 10-3 (구의동, 대성주택)",1,0,1
37.542414949999994,127.0846255,0.5443804245073632,156.92927321442852,구의동,3,구의동 237-10,0,0,1
37.54367925,127.0842867,0.7618809570848674,186.7402651424273,구의동,3,구의동 254-87,0,0,1
37.54435435,127.08589325,0.2403791155296826,214.4594519579285,구의동,3,구의동 239-130,0,0,1
37.54696835,127.0869605,2.0514937294300397,112.8149051059182,구의동,3,자양로 223 (구의동),1,0,1
37.548749,127.08890765,1.1306809768070705,196.1186938391685,구의동,3,구의동 97-4,0,0,1
37.5483554,127.08944765,2.419085234106912,184.36468710808634,구의동,3,구의동 113,0,0,1
37.54980745,127.0899278,1.1793895815184636,268.7652419805473,구의동,3,구의동 95-4,0,0,1
37.54934875,127.0905713,2.221240909069309,278.4400474702874,구의동,3,구의동 97-2,0,0,1
37.550346950000005,127.08988895,0.0152044315595042,261.4219560332673,구의동,3,구의동 95-4,0,0,1
37.5535198,127.08930485,0.9287036396476028,257.83268830624985,중곡동,2,중곡동 477,0,0,1
37.55333505,127.0880445,1.480791037127956,191.4270372646071,능동,7,능동 270-10,0,0,1
37.55535995,127.08288235,0.9065670615465026,205.9389188620124,능동,7,능동 270-8,0,0,1
37.55711115,127.0784504,0.504682571027119,343.6486408068035,군자동,5,군자동 498,0,0,1
37.55814115,127.0769931,0.715925647870484,321.6583627921383,군자동,5,천호대로 512-2 (군자동),1,0,1
37.55784595,127.0768267,0.3687342966572415,326.1101044803431,군자동,5,천호대로 512-2 (군자동),1,0,1
37.5631736,127.0763442,0.7146721315298841,280.66110983738815,중곡동,2,중곡동 249-12,0,0,1
37.5672328,127.0786177,2.4846066860799954,260.5587699324324,중곡동,2,중곡동 190-19,0,0,1
37.5454728,127.0663503,1.9633050362475717,278.9979008331837,화양동,4,화양동 31-73,0,0,1
37.5476662,127.0675854,0.4770792344017782,302.705416963582,화양동,4,화양동 18-28,0,0,1
37.54953245,127.0685287,0.4780091752014218,262.4098520724025,군자동,5,군자동 354-7,0,0,1
37.55256975,127.0705689,0.8116276425134795,146.7606294113567,군자동,5,동일로42길 11 (군자동),1,0,1
37.531539050000006,127.07556515,1.1527420390562744,113.35283607823253,자양동,1,자양동 728,0,0,1
37.53167205,127.07484095,0.990494160139178,131.87263953485018,자양동,1,자양동 727,0,0,1
37.53195775,127.07531605,0.4708547540699508,144.04523860615402,자양동,1,자양동 727,0,0,1
37.53135675,127.0751326,0.0689216617372108,108.99665851937132,자양동,1,자양동 727,0,0,1
37.5328984,127.0755988,0.32109956646978,230.108657658609,자양동,1,자양번영로 43-2 (자양동),1,0,1
37.532453,127.07547245,0.5180019910930915,188.42409212324293,자양동,1,자양번영로 43-2 (자양동),1,0,1
37.5347503,127.09090775,0.7159654826170446,109.48386768843962,구의동,3,구의동 606,0,0,1
37.53417915,127.09166965,0.7928427054534269,76.95549629298361,구의동,3,구의동 607,0,0,1
37.53444735,127.09219905,0.1011127822911538,103.37608372898603,구의동,3,강변역로 56-2 (구의동),1,0,1
37.5356065,127.0918927,0.7170381675231438,157.87622695574913,구의동,3,구의동 604,0,0,1
37.53803045,127.09304085,0.9023772371314404,171.8387380093103,구의동,3,구의동 217-16,0,0,1
37.537869650000005,127.0941972,1.3623757799215934,207.93419659414639,구의동,3,구의동 213-15,0,0,1
37.53899705,127.0938224,0.0193150727852435,185.28844159465598,구의동,3,구의동 217-16,0,0,1
37.55877125000001,127.09305695,0.284704520723587,154.50292802819826,중곡동,2,중곡동 438-3,0,0,1
37.55882080000001,127.09282515,2.751748799463289,144.04539499052916,중곡동,2,중곡동 482-1,0,0,1
37.5590124,127.09356165,2.3984349810148977,170.2251555655494,중곡동,2,긴고랑로 167-1,1,0,1
37.55897675,127.09264475,9.39122197632076,138.45262685874067,중곡동,2,중곡동 438-2,0,0,1
37.55882080000001,127.09282515,2.751748799463289,144.04539499052916,중곡동,2,중곡동 482-1,0,0,1
37.558689150000006,127.09210725,0.9965906873922448,122.26423684550261,중곡동,2,중곡동 482-1,0,0,1
37.5584095,127.0915993,1.479611646178955,127.54544411785646,중곡동,2,중곡동 438-3,0,0,1
37.55898155,127.0916782,5.884707294219473,96.85255658819797,중곡동,2,중곡동 438-2,0,0,1
37.558708,127.0911752,0.4326628604075085,93.16483714847826,중곡동,2,중곡동 482-4,0,0,1
37.558689150000006,127.09210725,0.9965906873922448,122.26423684550261,중곡동,2,중곡동 482-1,0,0,1
37.55911805,127.09089555,4.646519643340787,75.42252394450422,중곡동,2,중곡동 452-1,0,0,1
37.558708,127.0911752,0.4326628604075085,93.16483714847826,중곡동,2,중곡동 482-4,0,0,1
37.55888765,127.09039185,1.7943736046917145,61.752665760866236,중곡동,2,중곡동 482-4,0,0,1
37.5592528,127.09009,5.161292538425324,70.98108430167959,중곡동,2,중곡동 452-1,0,0,1
37.558806,127.09004885,4.868736981065294,50.55255814921021,중곡동,2,중곡동 452-2,0,0,1
