중점_위도,중점_경도,경사각,최근접_시설의_평균거리,열선여부,행정동,주소,도로명_여부
37.61743706,127.04552998013553,2.1885579446208583,195.57162912399272,1,장위동,동작구 성대로17길,1
37.49805329,126.9365532279095,8.566146734317426,221.45320218299275,1,상도동,동작구 성대로17길,1
37.61341051900145,126.977763,5.044559044910811,642.3497041009762,1,평창동,종로구 평창31길,1
37.55345789,127.0209811,2.316845106,118.94976667161448,1,금호동2가,성동구 무수막18길 1,1
37.57677449738645,127.0068204,9.467531923640276,177.27638216118115,1,이화동,종로구 율곡로19길 41-3,1
37.61916148591905,127.0061004,5.189649089652688,184.0628457084011,1,정릉동,성북구 솔샘로25길 28,1
37.4934635,127.14766725965252,0.012751883,153.1881167337662,1,거여동,송파구 거여동 697-8,0
37.552775337040345,127.0962805,7.57454613,192.5283645797985,1,구의동,광진구 구의동 15-1,0
37.563498566209645,127.0288336,5.7224274478996815,116.69547494696896,1,하왕십리동,성동구 하왕십리동 890-406,0
37.47223548503905,126.9004891,0.2951837887782342,158.25609407381577,1,독산동,금천구 독산동 160-6,0
37.60831595516175,126.97123566934452,15.86310044,273.0092704781784,1,평창동,종로구 평창동 산 6-6,0
37.55318835,127.0963361,5.566320351591077,192.44586925412935,1,구의동,광진구 구의동 15-1,0
37.63404550354775,127.0285266438215,0.5998682248048417,97.32775319674906,1,번동,강북구 번동 437-117,0
37.548219662024195,126.9651066,0.8975238646929679,82.56463668442635,1,청파동1가,용산구 청파동1가 89-72,0
37.57017642972245,127.0854972829015,5.040518359,184.5279978902635,1,중곡동,광진구 중곡동 546,0
37.62660142,127.0107029,12.734163240873425,273.1657080279283,1,수유동,강북구 수유동 486-1176,0
37.648224501741495,127.0288409,3.3880687387250137,222.8231677277926,1,쌍문동,도봉구 쌍문동 315-361,0
37.51916421043505,127.0487955,3.402048843363184,250.48150405849873,1,청담동,강남구 청담동 46-10,0
37.600372245926195,127.0317287622545,3.3499304328220156,113.52462484055177,1,종암동,성북구 종암동 79-471,0
37.50593091,127.0304936,0.029556962,238.96627968391937,1,역삼동,강남구 역삼동 604-12,0
37.491096081763345,126.96351522989453,6.125867543897519,121.30168139637968,1,사당동,동작구 사당동 708-537,0
37.47833894406055,127.0042391283915,2.8035246272360417,296.25626450226594,1,방배동,서초구 방배동 1036-4,0
37.55638713,127.0311233933845,3.7465070250200663,230.10261958915584,1,행당동,성동구 행당동 346-9,0
37.556221160392894,127.0336342805015,1.6860261571177555,123.95405330909888,1,행당동,성동구 행당동 376-4,0
37.49287250938825,126.9371562,0.1817965966171699,273.4778922133168,1,상도동,동작구 상도동 산 77-14,0
37.64662804,127.0398455,0.5374671654702581,158.48894967007783,1,창동,도봉구 창동 산 107-223,0
37.54724417225505,126.9600622,6.325500333,80.83716796148103,1,공덕동,마포구 공덕동 111-363,0
37.60759967328565,127.0276093312935,6.601814590770603,117.82878283428184,1,길음동,성북구 길음동 1289-8,0
37.55440396,126.9449631491795,8.058608879,115.07034904242948,1,대흥동,마포구 대흥동 13-128,0
37.49375948,126.9486532,2.7629332703208034,220.8744841391126,1,,,FALSE
37.65246973001305,127.02368663563352,8.876088022,227.30811764289632,1,쌍문동,도봉구 쌍문동 460-17,0
37.5537293,127.0180444,14.896704417805706,69.08777979560301,1,금호동2가,성동구 금호동2가 1-2,0
37.54969012,127.0223300481665,8.251801744,182.45116442315057,1,금호동3가,성동구 금호동3가 702,0
37.507964118279205,126.9216100560175,0.2101473455715825,147.87807153933358,1,신길동,영등포구 신길동 458-4,0
37.59204361,127.0071047386445,7.082448841325491,137.2728693721921,1,성북동,성북구 성북동 168-276,0
37.54611186,126.9731985,4.6216496767228765,158.02664540007564,1,갈월동,용산구 갈월동 34-4,0
37.54296208,126.9416749,0.5285728434171391,139.82898697311742,1,용강동,마포구 용강동 335-16,0
37.65026025,127.0300137,0.6337870693176312,165.48387856671246,1,쌍문동,도봉구 쌍문동 139-33,0
37.61255967578885,127.0383671123015,12.273235358867671,176.90313372500083,1,장위동,성북구 장위동 231-170,0
